patient,rmse,mae,best_val
575-ws-training,17.865262015506033,12.368915335722841,0.13149454880778383
563-ws-training,10.85943772066961,7.610896986195021,0.04466571670207309
559-ws-testing,14.799760843502611,10.118009982393232,0.07069823797792196
588-ws-testing,11.437452954196633,8.517635021939855,0.05241140743924512
Patient_1,17.48744429948877,11.494883992911541,0.06587317543055274
570-ws-testing,14.025630715729113,9.654735521208245,0.06633101414061254
588-ws-training,12.569339208955801,8.863907700716874,0.054120244004014065
563-ws-testing,12.019304729599899,8.67081974140407,0.05258761138162192
570-ws-training,11.270081759079662,7.082795345128189,0.05093736950410147
591-ws-training,14.59284801241582,9.892788498811404,0.046584113349672406
591-ws-testing,11.826676860212572,8.688998412469218,0.052289432742529444
575-ws-testing,15.935018461509648,10.697839459780674,0.09815411751761156
